category_id,sub_category_id,category,sub_category,relation_type,linker
1,1,CONTRAST,OPPOSITION,attack,as against that
1,2,CONTRAST,OPPOSITION,attack,as opposed to
1,3,CONTRAST,OPPOSITION,attack,as opposed to the fact
1,4,CONTRAST,OPPOSITION,attack,as opposed to the fact that
1,5,CONTRAST,OPPOSITION,attack,but
1,6,CONTRAST,OPPOSITION,attack,but still
1,7,CONTRAST,OPPOSITION,attack,by contrast
1,8,CONTRAST,OPPOSITION,attack,by contrast with
1,9,CONTRAST,OPPOSITION,attack,contrary to
1,10,CONTRAST,OPPOSITION,attack,contrary to the fact
1,11,CONTRAST,OPPOSITION,attack,contrary to the fact that
1,12,CONTRAST,OPPOSITION,attack,conversely
1,13,CONTRAST,OPPOSITION,attack,differently
1,14,CONTRAST,OPPOSITION,attack,differently from
1,15,CONTRAST,OPPOSITION,attack,differently to
1,16,CONTRAST,OPPOSITION,attack,differently to the fact
1,17,CONTRAST,OPPOSITION,attack,differently to the fact that
1,18,CONTRAST,OPPOSITION,attack,however
1,19,CONTRAST,OPPOSITION,attack,in a different way
1,20,CONTRAST,OPPOSITION,attack,in a different way than
1,21,CONTRAST,OPPOSITION,attack,in contrast
1,22,CONTRAST,OPPOSITION,attack,in contrast to
1,23,CONTRAST,OPPOSITION,attack,in contrast to the fact
1,24,CONTRAST,OPPOSITION,attack,in contrast to the fact that
1,25,CONTRAST,OPPOSITION,attack,in contrast with
1,26,CONTRAST,OPPOSITION,attack,in contrast with the fact
1,27,CONTRAST,OPPOSITION,attack,in contrast with the fact that
1,28,CONTRAST,OPPOSITION,attack,nevertheless
1,29,CONTRAST,OPPOSITION,attack,nonetheless
1,30,CONTRAST,OPPOSITION,attack,on the contrary
1,31,CONTRAST,OPPOSITION,attack,to an extent contrary to
1,32,CONTRAST,OPPOSITION,attack,yet
2,1,CONTRAST,CONCESSION,attack,after all
2,2,CONTRAST,CONCESSION,attack,albeit
2,3,CONTRAST,CONCESSION,attack,albeit for
2,4,CONTRAST,CONCESSION,attack,albeit from
2,5,CONTRAST,CONCESSION,attack,albeit that
2,6,CONTRAST,CONCESSION,attack,albeit with
2,7,CONTRAST,CONCESSION,attack,all the same
2,8,CONTRAST,CONCESSION,attack,although
2,9,CONTRAST,CONCESSION,attack,anyway
2,10,CONTRAST,CONCESSION,attack,as long as
2,11,CONTRAST,CONCESSION,attack,despite
2,12,CONTRAST,CONCESSION,attack,despite the fact
2,13,CONTRAST,CONCESSION,attack,despite the fact that
2,14,CONTRAST,CONCESSION,attack,even
2,15,CONTRAST,CONCESSION,attack,even if
2,16,CONTRAST,CONCESSION,attack,even if the fact
2,17,CONTRAST,CONCESSION,attack,even if the fact that
2,18,CONTRAST,CONCESSION,attack,even so
2,19,CONTRAST,CONCESSION,attack,even the fact
2,20,CONTRAST,CONCESSION,attack,even the fact that
2,21,CONTRAST,CONCESSION,attack,even though
2,22,CONTRAST,CONCESSION,attack,even with
2,23,CONTRAST,CONCESSION,attack,even with the fact
2,24,CONTRAST,CONCESSION,attack,even with the fact that
2,25,CONTRAST,CONCESSION,attack,however much
2,26,CONTRAST,CONCESSION,attack,in spite
2,27,CONTRAST,CONCESSION,attack,in spite of
2,28,CONTRAST,CONCESSION,attack,in spite of the fact
2,29,CONTRAST,CONCESSION,attack,in spite of the fact that
2,30,CONTRAST,CONCESSION,attack,in spite the fact
2,31,CONTRAST,CONCESSION,attack,in spite the fact that
2,32,CONTRAST,CONCESSION,attack,including that
2,33,CONTRAST,CONCESSION,attack,including the fact
2,34,CONTRAST,CONCESSION,attack,including the fact that
2,35,CONTRAST,CONCESSION,attack,independently from
2,36,CONTRAST,CONCESSION,attack,independently from the fact
