category_id,sub_category_id,category,sub_category,relation_type,linker
1,1,CONTRAST,OPPOSITION,attack,a diferencia de
1,2,CONTRAST,OPPOSITION,attack,a diferencia de la
1,3,CONTRAST,OPPOSITION,attack,a diferencia de las
1,4,CONTRAST,OPPOSITION,attack,a diferencia de los
1,5,CONTRAST,OPPOSITION,attack,a diferencia del
1,6,CONTRAST,OPPOSITION,attack,a diferencia del hecho de
1,7,CONTRAST,OPPOSITION,attack,a diferencia del hecho de que
1,8,CONTRAST,OPPOSITION,attack,al contrario
1,9,CONTRAST,OPPOSITION,attack,al contrario de
1,10,CONTRAST,OPPOSITION,attack,al contrario de la
1,11,CONTRAST,OPPOSITION,attack,al contrario de las
1,12,CONTRAST,OPPOSITION,attack,al contrario de los
1,13,CONTRAST,OPPOSITION,attack,al contrario del
1,14,CONTRAST,OPPOSITION,attack,al contrario del hecho de
1,15,CONTRAST,OPPOSITION,attack,al contrario del hecho de que
1,16,CONTRAST,OPPOSITION,attack,al contrario que
1,17,CONTRAST,OPPOSITION,attack,aún así
1,18,CONTRAST,OPPOSITION,attack,con todo
1,19,CONTRAST,OPPOSITION,attack,contrariamente
1,20,CONTRAST,OPPOSITION,attack,contrariamente a
1,21,CONTRAST,OPPOSITION,attack,contrariamente a la
1,22,CONTRAST,OPPOSITION,attack,contrariamente a las
1,23,CONTRAST,OPPOSITION,attack,contrariamente a los
1,24,CONTRAST,OPPOSITION,attack,contrariamente al
1,25,CONTRAST,OPPOSITION,attack,contrariamente al hecho de
1,26,CONTRAST,OPPOSITION,attack,contrariamente al hecho de que
1,27,CONTRAST,OPPOSITION,attack,contrastando con
1,28,CONTRAST,OPPOSITION,attack,contrastando con el hecho de
1,29,CONTRAST,OPPOSITION,attack,contrastando con el hecho de que
1,30,CONTRAST,OPPOSITION,attack,de forma contraria a
1,31,CONTRAST,OPPOSITION,attack,de forma contraria a la
1,32,CONTRAST,OPPOSITION,attack,de forma contraria a las
1,33,CONTRAST,OPPOSITION,attack,de forma contraria a los
1,34,CONTRAST,OPPOSITION,attack,de forma contraria al
1,35,CONTRAST,OPPOSITION,attack,de forma contraria al hecho de
1,36,CONTRAST,OPPOSITION,attack,de forma contraria al hecho de que
1,37,CONTRAST,OPPOSITION,attack,de forma diferente
1,38,CONTRAST,OPPOSITION,attack,de forma diferente a
1,39,CONTRAST,OPPOSITION,attack,de forma diferente a la
1,40,CONTRAST,OPPOSITION,attack,de forma diferente a las
1,41,CONTRAST,OPPOSITION,attack,de forma diferente a los
1,42,CONTRAST,OPPOSITION,attack,de forma diferente al
1,43,CONTRAST,OPPOSITION,attack,de forma diferente al hecho de
1,44,CONTRAST,OPPOSITION,attack,de forma diferente al hecho de que
1,45,CONTRAST,OPPOSITION,attack,de forma distinta
1,46,CONTRAST,OPPOSITION,attack,de forma distinta a
1,47,CONTRAST,OPPOSITION,attack,de forma distinta a la
1,48,CONTRAST,OPPOSITION,attack,de forma distinta a las
1,49,CONTRAST,OPPOSITION,attack,de forma distinta a los
1,50,CONTRAST,OPPOSITION,attack,de forma distinta al
1,51,CONTRAST,OPPOSITION,attack,de forma distinta al hecho de
1,52,CONTRAST,OPPOSITION,attack,de forma distinta al hecho de que
1,53,CONTRAST,OPPOSITION,attack,de forma opuesta a
1,54,CONTRAST,OPPOSITION,attack,de forma opuesta a la
1,55,CONTRAST,OPPOSITION,attack,de forma opuesta a las
1,56,CONTRAST,OPPOSITION,attack,de forma opuesta a los
1,57,CONTRAST,OPPOSITION,attack,de forma opuesta al
1,58,CONTRAST,OPPOSITION,attack,de forma opuesta al hecho de
1,59,CONTRAST,OPPOSITION,attack,de forma opuesta al hecho de que
1,60,CONTRAST,OPPOSITION,attack,de lo contrario
1,61,CONTRAST,OPPOSITION,attack,de manera contraria a
1,62,CONTRAST,OPPOSITION,attack,de manera contraria a la
1,63,CONTRAST,OPPOSITION,attack,de manera contraria a las
1,64,CONTRAST,OPPOSITION,attack,de manera contraria a los
1,65,CONTRAST,OPPOSITION,attack,de manera contraria al
1,66,CONTRAST,OPPOSITION,attack,de manera contraria al hecho de
1,67,CONTRAST,OPPOSITION,attack,de manera contraria al hecho de que
1,68,CONTRAST,OPPOSITION,attack,de manera diferente
1,69,CONTRAST,OPPOSITION,attack,de manera diferente a
1,70,CONTRAST,OPPOSITION,attack,de manera diferente a la
1,71,CONTRAST,OPPOSITION,attack,de manera diferente a las
1,72,CONTRAST,OPPOSITION,attack,de manera diferente a los
1,73,CONTRAST,OPPOSITION,attack,de manera diferente al
1,74,CONTRAST,OPPOSITION,attack,de manera diferente al hecho de
1,75,CONTRAST,OPPOSITION,attack,de manera diferente al hecho de que
1,76,CONTRAST,OPPOSITION,attack,de manera distinta
1,77,CONTRAST,OPPOSITION,attack,de manera distinta a
1,78,CONTRAST,OPPOSITION,attack,de manera distinta a la
1,79,CONTRAST,OPPOSITION,attack,de manera distinta a las
1,80,CONTRAST,OPPOSITION,attack,de manera distinta a los
1,81,CONTRAST,OPPOSITION,attack,de manera distinta al
1,82,CONTRAST,OPPOSITION,attack,de manera distinta al hecho de
1,83,CONTRAST,OPPOSITION,attack,de manera distinta al hecho de que
1,84,CONTRAST,OPPOSITION,attack,de manera opuesta a
1,85,CONTRAST,OPPOSITION,attack,de manera opuesta a la
1,86,CONTRAST,OPPOSITION,attack,de manera opuesta a las
1,87,CONTRAST,OPPOSITION,attack,de manera opuesta a los
1,88,CONTRAST,OPPOSITION,attack,de manera opuesta al
1,89,CONTRAST,OPPOSITION,attack,de manera opuesta al hecho de
1,90,CONTRAST,OPPOSITION,attack,de manera opuesta al hecho de que
1,91,CONTRAST,OPPOSITION,attack,de modo contrario a
1,92,CONTRAST,OPPOSITION,attack,de modo contrario a la
1,93,CONTRAST,OPPOSITION,attack,de modo contrario a las
1,94,CONTRAST,OPPOSITION,attack,de modo contrario a los
1,95,CONTRAST,OPPOSITION,attack,de modo contrario al
